"name","scientific_name","description","image_link","cleaned_name","cleaned_description"
"African Grey Parrot","Psittacus erithacus","A medium-sized West and Central African parrot famous for advanced vocal mimicry and high cognitive ability; predominantly grey with a contrasting red tail.","https://a-z-animals.com/media/2021/11/African-grey-parrot-1-1024x535.jpg","african grey parrot","A medium-sized West and Central [REDACTED] [REDACTED] famous for advanced vocal mimicry and high cognitive ability; predominantly [REDACTED] with a contrasting red tail."
"African Jacana","Actophilornis africanus","A long-toed wading bird specialized for walking on floating vegetation in freshwater wetlands across much of sub-Saharan Africa. Noted for striking sexual role reversal: females are larger and may maintain territories with multiple males; males incubate and care for chicks.","https://a-z-animals.com/media/2022/09/shutterstock_1815220133-1024x683.jpg","african jacana","A long-toed wading bird specialized for walking on floating vegetation in freshwater wetlands across much of sub-Saharan Africa. Noted for striking sexual role reversal: females are larger and may maintain territories with multiple males; males incubate and care for chicks."
"African Palm Civet","Nandinia binotata","The African palm civet (Nandinia binotata) is a small, mostly nocturnal, arboreal carnivoran native to sub-Saharan Africa. Despite the ‘civet’ name, it is placed in its own family (Nandiniidae) and is not a true viverrid.","https://a-z-animals.com/media/animals/images/original/Nandinia_binotata_Manchester_Museum-1024x768.jpg","african palm civet","The [REDACTED] (Nandinia binotata) is a small, mostly nocturnal, arboreal carnivoran native to sub-Saharan Africa. Despite the ‘[REDACTED]’ name, it is placed in its own family (Nandiniidae) and is not a true viverrid."
"African Penguin","Spheniscus demersus","The African penguin is a medium-sized, black-and-white banded penguin endemic to southern Africa, breeding in colonies on islands and some mainland sites along the coasts of South Africa and Namibia.","https://a-z-animals.com/media/African-Penguins-header-1024x535.jpg","african penguin","The [REDACTED] is a medium-sized, black-and-white banded [REDACTED] endemic to southern Africa, breeding in colonies on islands and some mainland sites along the coasts of South Africa and Namibia."
"African Sugarcane Borer","Eldana saccharina","Eldana saccharina is a nocturnal moth whose larvae bore into sugarcane stems (and other host plants), reducing yield and sugar content and predisposing plants to secondary infections. It is considered one of the most economically important sugarcane pests in sub-Saharan Africa.","https://a-z-animals.com/media/2023/02/Eldana_saccharina_dorsal.jpg","african sugarcane borer","Eldana saccharina is a nocturnal moth whose larvae bore into [REDACTED] stems (and other host plants), reducing yield and sugar content and predisposing plants to secondary infections. It is considered one of the most economically important [REDACTED] pests in sub-Saharan Africa."
"African Tree Toad","Nectophryne","African tree toads (genus Nectophryne) are small, largely forest-associated true toads adapted for life on vegetation (more arboreal than many other bufonids). They occur in parts of West and Central Africa.","https://a-z-animals.com/media/animals/images/original/african_tree_toad.jpg","african tree toad","[REDACTED]s (genus Nectophryne) are small, largely forest-associated true [REDACTED]s adapted for life on vegetation (more arboreal than many other bufonids). They occur in parts of West and Central Africa."
"African Wild Dog","Lycaon pictus","The African wild dog (Lycaon pictus), also called the painted dog, is a highly social African canid known for cooperative hunting and complex pack dynamics.","https://a-z-animals.com/media/animals/images/original/african_wild_dog.jpg","african wild dog","The [REDACTED] (Lycaon pictus), also called the painted [REDACTED], is a highly social [REDACTED] canid known for cooperative hunting and complex pack dynamics."
"Africanized bee (killer bee)","Apis mellifera","The Africanized honey bee is a hybrid population of the Western honey bee (Apis mellifera), originating after African honey bee stock (notably A. m. scutellata ancestry) interbred with previously established European-derived honey bee populations in the Americas. It is famous for heightened defensiveness compared with many managed European strains, while remaining the same species as the common honey bee.","https://a-z-animals.com/media/2022/10/shutterstock_1794711316-1024x683.jpg","africanized bee","The [REDACTED] honey [REDACTED] is a hybrid population of the Western honey [REDACTED] (Apis mellifera), originating after African honey [REDACTED] stock (notably A. m. scutellata ancestry) interbred with previously established European-derived honey [REDACTED] populations in the Americas. It is famous for heightened defensiveness compared with many managed European strains, while remaining the same species as the common honey [REDACTED]."
"Agama Lizard","Agama","Agamas (genus Agama) are Old World agamid lizards best known from Africa, typically diurnal, visually oriented, and often strongly sexually dimorphic, with males displaying bright breeding colors and territorial behavior.","https://a-z-animals.com/media/2022/02/Agama-Lizard-header-1024x535.jpg","agama lizard","[REDACTED]s (genus [REDACTED]) are Old World agamid [REDACTED]s best known from Africa, typically diurnal, visually oriented, and often strongly sexually dimorphic, with males displaying bright breeding colors and territorial behavior."
"Agkistrodon Contortrix","Agkistrodon contortrix","Agkistrodon contortrix (Eastern Copperhead) is a North American venomous pit viper known for its coppery head coloration and hourglass-shaped dorsal banding. It is generally a forest-edge/rocky woodland snake and is one of the more commonly encountered venomous snakes in parts of the eastern United States.","https://a-z-animals.com/media/2021/11/Copperhead-Snake-on-wood-1024x535.jpg","agkistrodon contortrix","[REDACTED] (Eastern Copperhead) is a North American venomous pit viper known for its coppery head coloration and hourglass-shaped dorsal banding. It is generally a forest-edge/rocky woodland snake and is one of the more commonly encountered venomous snakes in parts of the eastern United States."
"Agouti","Dasyprocta","Agoutis (genus Dasyprocta) are medium-sized, long-legged Neotropical rodents known for diurnal foraging, strong incisors, and an important ecological role as seed predators and seed dispersers—especially for large-seeded tropical trees.","https://a-z-animals.com/media/2023/01/shutterstock_1868048887-1024x683.jpg","agouti","[REDACTED]s (genus Dasyprocta) are medium-sized, long-legged Neotropical rodents known for diurnal foraging, strong incisors, and an important ecological role as seed predators and seed dispersers—especially for large-seeded tropical trees."
"Aidi","Canis lupus familiaris","The Aidi (Atlas Mountain Dog) is a Moroccan livestock-guardian and watchdog breed traditionally used to protect flocks and property in the Atlas Mountains and surrounding regions. It is valued for vigilance, agility, and a strong protective instinct.","https://a-z-animals.com/media/2021/10/Aidi-isolated-1024x535.jpg","aidi","The [REDACTED] (Atlas Mountain Dog) is a Moroccan livestock-guardian and watchdog breed traditionally used to protect flocks and property in the Atlas Mountains and surrounding regions. It is valued for vigilance, agility, and a strong protective instinct."
"Ainu","Canis lupus familiaris","The Hokkaido Dog (Ainu-ken) is a Japanese dog breed (domestic dog) developed in Hokkaidō, historically used for hunting (including large game) and valued for hardiness in cold climates.","https://a-z-animals.com/media/2026/01/shutterstock-2597093611-huge-licensed-scaled-1024x683.jpg","ainu","The Hokkaido Dog ([REDACTED]-ken) is a Japanese dog breed (domestic dog) developed in Hokkaidō, historically used for hunting (including large game) and valued for hardiness in cold climates."
"Airedale Terrier","Canis lupus familiaris","The Airedale Terrier is a recognized breed of domestic dog, historically developed in Yorkshire (England) and often called the “King of Terriers” due to its larger size among terriers. It is an active, intelligent, wire-coated breed originally used for hunting and versatile working roles.","https://a-z-animals.com/media/2024/12/shutterstock-2322876007-medium-licensed.jpg","airedale terrier","The [REDACTED] is a recognized breed of domestic dog, historically developed in Yorkshire (England) and often called the “King of [REDACTED]s” due to its larger size among [REDACTED]s. It is an active, intelligent, wire-coated breed originally used for hunting and versatile working roles."
"Airedoodle","Canis lupus familiaris","The Airedoodle is a domestic dog hybrid (often termed a designer breed) produced by crossing an Airedale Terrier with a Poodle (usually Standard or sometimes Miniature), resulting in a companion animal with variable size, coat, and temperament.",NA,"airedoodle","The [REDACTED] is a domestic dog hybrid (often termed a designer breed) produced by crossing an Airedale Terrier with a Poodle (usually Standard or sometimes Miniature), resulting in a companion animal with variable size, coat, and temperament."
"Akbash","Canis lupus familiaris","The Akbash is a large, white Turkish livestock guardian dog developed to protect sheep and goats from predators. It is known for independence, attentiveness, and a strong guarding instinct rather than herding behavior.","https://a-z-animals.com/media/2019/10/shutterstock_1176165853-1024x535.jpg","akbash","The [REDACTED] is a large, white Turkish livestock guardian dog developed to protect sheep and goats from predators. It is known for independence, attentiveness, and a strong guarding instinct rather than herding behavior."
"Akita","Canis lupus familiaris","The Akita is a large, powerful spitz-type domestic dog breed originating from Akita Prefecture, Japan. It is known for loyalty, a dense double coat, and a curled tail, and has been used historically for guarding and hunting large game.","https://a-z-animals.com/media/2019/10/Akita-header-1024x439.jpg","akita","The [REDACTED] is a large, powerful spitz-type domestic dog breed originating from [REDACTED] Prefecture, Japan. It is known for loyalty, a dense double coat, and a curled tail, and has been used historically for guarding and hunting large game."
"Akita Shepherd","Canis lupus familiaris","A domestic dog cross typically produced by breeding an Akita with a German Shepherd Dog, yielding a large, athletic, protective companion/working-type dog with variable appearance and temperament.","https://a-z-animals.com/media/2026/01/shutterstock-393216988-huge-licensed-scaled-1024x689.jpg","akita shepherd","A domestic dog cross typically produced by breeding an [REDACTED] with a German [REDACTED] Dog, yielding a large, athletic, protective companion/working-type dog with variable appearance and temperament."
"Alabai (Central Asian Shepherd)","Canis lupus familiaris","The Alabai (Central Asian Shepherd Dog) is a large, powerful livestock guardian dog originating across Central Asia (e.g., Turkmenistan, Kazakhstan, Uzbekistan, Kyrgyzstan, Tajikistan). It was traditionally selected for protecting sheep, goats, and homesteads from predators and intruders, emphasizing independence, territoriality, and endurance.","https://a-z-animals.com/media/2021/06/Alabai-header-1024x439.jpg","alabai","The [REDACTED] ([REDACTED] [REDACTED] [REDACTED] Dog) is a large, powerful livestock guardian dog originating across [REDACTED] Asia (e.g., Turkmenistan, Kazakhstan, Uzbekistan, Kyrgyzstan, Tajikistan). It was traditionally selected for protecting sheep, goats, and homesteads from predators and intruders, emphasizing independence, territoriality, and endurance."
"Alaskan Husky","Canis lupus familiaris","The Alaskan Husky is a performance-bred sled dog type developed in Alaska for endurance, speed, and work capacity (distance racing, sprint racing, freight). It is typically a purpose-bred mix rather than a closed-registry conformation breed.","https://a-z-animals.com/media/2026/03/shutterstock-2357426521-huge-licensed-scaled-1024x683.jpg","alaskan husky","The [REDACTED] is a performance-bred sled dog type developed in Alaska for endurance, speed, and work capacity (distance racing, sprint racing, freight). It is typically a purpose-bred mix rather than a closed-registry conformation breed."
"Alaskan Klee Kai","Canis lupus familiaris","The Alaskan Klee Kai is a small companion dog breed developed in the United States to resemble a husky-type dog in a smaller size. It is a domestic breed within the dog lineage.","https://a-z-animals.com/media/2021/10/Alaskan-Klee-Kai2-e1651806966270-1024x535.jpg","alaskan klee kai","The [REDACTED] is a small companion dog breed developed in the United States to resemble a husky-type dog in a smaller size. It is a domestic breed within the dog lineage."
"Alaskan Malamute","Canis lupus familiaris","The Alaskan Malamute is a large, powerful Arctic spitz-type domestic dog breed historically developed for hauling heavy loads and working in teams in harsh northern climates.","https://a-z-animals.com/media/2023/09/GettyImages-1492660202-1024x683.jpg","alaskan malamute","The [REDACTED] is a large, powerful Arctic spitz-type domestic dog breed historically developed for hauling heavy loads and working in teams in harsh northern climates."
"Alaskan Pollock","Gadus chalcogrammus","A schooling marine ray-finned fish in the cod family (Gadidae), abundant in the North Pacific and one of the world’s largest commercial fisheries; commonly used for surimi, fish fillets, and products like imitation crab.","https://a-z-animals.com/media/2022/04/Alaska_Pollock_Gadus_chalcogrammus_-_GRB-1024x591.jpg","alaskan pollock","A schooling marine ray-finned fish in the cod family (Gadidae), abundant in the North Pacific and one of the world’s largest commercial fisheries; commonly used for surimi, fish fillets, and products like imitation crab."
"Alaskan Shepherd","Canis lupus familiaris","An “Alaskan Shepherd” is most commonly described as a large, cold-tolerant mixed-breed dog combining German Shepherd–type traits (trainability, guarding/working drive) with Alaskan Malamute–type traits (size, endurance, dense coat). Because it’s a cross, appearance and temperament can vary substantially between individuals.","https://a-z-animals.com/media/2021/04/Alaskan-Shepherd-on-porch-1024x535.jpg","alaskan shepherd","An “[REDACTED]” is most commonly described as a large, cold-tolerant mixed-breed dog combining German [REDACTED]–type traits (trainability, guarding/working drive) with [REDACTED] Malamute–type traits (size, endurance, dense coat). Because it’s a cross, appearance and temperament can vary substantially between individuals."
"Albacore Tuna","Thunnus alalunga","The albacore is a pelagic, fast-swimming tuna species widely distributed in temperate and subtropical oceans. It is commercially important and is the species most commonly marketed as canned 'white tuna'.","https://a-z-animals.com/media/2021/01/Tuna-Albacore-swimming-1024x535.jpg","albacore tuna","The [REDACTED] is a pelagic, fast-swimming [REDACTED] species widely distributed in temperate and subtropical oceans. It is commercially important and is the species most commonly marketed as canned 'white [REDACTED]'."
"Albatross","Diomedeidae","Albatrosses are large, ocean-going seabirds specialized for dynamic soaring and long-distance flight, spending most of their lives at sea and returning to land mainly to breed in colonies on remote islands.","https://a-z-animals.com/media/albatross-5.jpg","albatross","[REDACTED]es are large, ocean-going seabirds specialized for dynamic soaring and long-distance flight, spending most of their lives at sea and returning to land mainly to breed in colonies on remote islands."
"Albertonectes","Albertonectes","Albertonectes is a genus of long-necked elasmosaurid plesiosaurs—fully marine, paddle-limbed reptiles that lived during the Late Cretaceous in the Western Interior Seaway region of North America.","https://a-z-animals.com/media/2022/10/Albertonectes-1024x410.jpg","albertonectes","[REDACTED] is a genus of long-necked elasmosaurid plesiosaurs—fully marine, paddle-limbed reptiles that lived during the Late Cretaceous in the Western Interior Seaway region of North America."
"Albino (Amelanistic) Corn Snake","Pantherophis guttatus","A nonvenomous North American colubrid commonly kept as a pet; the “albino” form is an amelanistic morph lacking black pigment, typically showing white/cream, orange, and red tones with red/pink eyes.","https://a-z-animals.com/media/2022/09/albino-corn-snake-on-white-background-picture-id590581232-1024x614.jpg","albino corn snake","A nonvenomous North American colubrid commonly kept as a pet; the “[REDACTED]” form is an [REDACTED] morph lacking black pigment, typically showing white/cream, orange, and red tones with red/pink eyes."
"Aldabra Giant Tortoise","Aldabrachelys gigantea","A very large herbivorous land tortoise and one of the world’s largest living tortoise species, famed for extreme longevity and its stronghold on Aldabra Atoll (Seychelles).","https://a-z-animals.com/media/animals/images/original/aldabra_giant_tortoise.jpg","aldabra giant tortoise","A very large herbivorous land [REDACTED] and one of the world’s largest living [REDACTED] species, famed for extreme longevity and its stronghold on [REDACTED] Atoll (Seychelles)."
"Alligator Gar","Atractosteus spatula","The alligator gar is a large, primitive ray-finned fish (a gar) characterized by an elongate body, heavy ganoid scales, and a broad, alligator-like snout. It is an ambush predator and one of the largest freshwater fishes in North America.","https://a-z-animals.com/media/2023/08/shutterstock-1436636306-huge-licensed-scaled-1024x685.jpg","alligator gar","The [REDACTED] is a large, primitive ray-finned fish (a [REDACTED]) characterized by an elongate body, heavy ganoid scales, and a broad, [REDACTED]-like snout. It is an ambush predator and one of the largest freshwater fishes in North America."
"Allosaurus","Allosaurus","Allosaurus is a genus of large-bodied, carnivorous theropod dinosaurs from the Late Jurassic, best known from abundant fossils in the Morrison Formation of North America. It was an apex/upper-tier predator in its ecosystems, with a large skull, serrated teeth, and three-fingered forelimbs.","https://a-z-animals.com/media/2022/06/Allosaurus-in-forest-1024x576.jpg","allosaurus","[REDACTED] is a genus of large-bodied, carnivorous theropod dinosaurs from the Late Jurassic, best known from abundant fossils in the Morrison Formation of North America. It was an apex/upper-tier predator in its ecosystems, with a large skull, serrated teeth, and three-fingered forelimbs."
"Alpaca","Vicugna pacos","The alpaca is a domesticated camelid native to the Andean regions of South America, kept primarily for its valuable fiber and also for meat in some areas. It is closely related to the vicuña and is distinct from the larger llama.","https://a-z-animals.com/media/alpalca-2.jpg","alpaca","The [REDACTED] is a domesticated camelid native to the Andean regions of South America, kept primarily for its valuable fiber and also for meat in some areas. It is closely related to the vicuña and is distinct from the larger llama."
"Alpine Dachsbracke","Canis lupus familiaris","A short-legged Alpine scenthound developed for tracking and driving game (notably wounded deer) in mountainous terrain; a robust, low-slung hound sometimes described as a 'badger hound' type.","https://a-z-animals.com/media/2019/10/Alpine-Dachsbracke-close-up-1024x535.jpg","alpine dachsbracke","A short-legged [REDACTED] scenthound developed for tracking and driving game (notably wounded deer) in mountainous terrain; a robust, low-slung hound sometimes described as a 'badger hound' type."
"Alpine Goat","Capra hircus","The Alpine Goat is a common term for a high-producing dairy breed of the domestic goat, widely kept for milk and cheese production and known for hardiness and variable coat coloration.","https://a-z-animals.com/media/2025/08/shutterstock-1865318821-huge-licensed-scaled-1024x683.jpg","alpine goat","The [REDACTED] is a common term for a high-producing dairy breed of the domestic [REDACTED], widely kept for milk and cheese production and known for hardiness and variable coat coloration."
"Alusky","Canis lupus familiaris","An Alusky is a mixed-breed domestic dog produced by crossing an Alaskan Malamute with a Siberian Husky. It is typically a northern spitz-type, athletic, cold-tolerant dog with heavy shedding and high exercise needs.","https://a-z-animals.com/media/2026/03/shutterstock-1764933878-huge-licensed-1-scaled-1024x733.jpg","alusky","An [REDACTED] is a mixed-breed domestic dog produced by crossing an Alaskan Malamute with a Siberian Husky. It is typically a northern spitz-type, athletic, cold-tolerant dog with heavy shedding and high exercise needs."
"Amano Shrimp","Caridina multidentata","A small freshwater atyid shrimp popular in aquariums for algae grazing and scavenging; famously promoted in planted tanks by aquascaper Takashi Amano.","https://a-z-animals.com/media/2026/04/shutterstock-71548444-huge-licensed-scaled-1024x683.jpg","amano shrimp","A small freshwater atyid [REDACTED] popular in aquariums for algae grazing and scavenging; famously promoted in planted tanks by aquascaper Takashi [REDACTED]."
"Amargasaurus","Amargasaurus cazaui","Amargasaurus cazaui is a small-to-medium sized sauropod dinosaur (Dicraeosauridae) from the Early Cretaceous of Patagonia, Argentina, famous for its paired elongated neural spines on the neck.","https://a-z-animals.com/media/2022/06/Amargasaurus-header-1024x614.jpg","amargasaurus","[REDACTED] cazaui is a small-to-medium sized sauropod dinosaur (Dicraeosauridae) from the Early Cretaceous of Patagonia, Argentina, famous for its paired elongated neural spines on the neck."
"Amazon Parrot","Amazona","Amazon parrots (genus Amazona) are medium-to-large, mostly green New World parrots found from Mexico through the Caribbean and much of South America. Many species are highly vocal, social, and intelligent, and several are common in the pet trade.","https://a-z-animals.com/media/2021/11/Amazon-parrot-header-1024x535.jpg","amazon parrot","[REDACTED]s (genus [REDACTED]a) are medium-to-large, mostly green New World [REDACTED]s found from Mexico through the Caribbean and much of South America. Many species are highly vocal, social, and intelligent, and several are common in the pet trade."
